OBJECTID,NAME_OF_SE,ALT_NAME,STREETNAME,WARD_S,PLANNING_U,LATITUDE,LONGITUDE,REGION,WATER_SUPP,SANITATION,REFUSE,ELECTRIC_2,UNIREFCODE,EST_HHC,NUSP_CAT,SHAPE_Length,SHAPE_Area
310,Malukazi (Upper), ,Ithambo Avenue,89/86,Malukazi,"-30,0017349245995","30,8953090059747",Southern,Ablution Facility Taps,Ablution Facility,C&SW contractor,Yes,I0123,1906,B1,0.118035572020817,6.14688745173636e-05
311,Lotus Park Settlement, ,Silvergull,89/90,Lotus Park,"-30,00442356731","30,9065468496906",Southern,TBC,TBC,C&SW contractor,TBC,I0853,207,B2,0.00645965036466124,1.63517058873954e-06
312,Pasadena Crescent, ,Pasadena Crescent,69,Bayview,"-29,929444450457","30,9114794592501",Southern,Standpipe,VIP Toilets,C&SW contractor,TBC,I0915,34,B1,0.00414286931483535,1.92767950893638e-07
313,Horseshoe road informal, ,Horseshoe road,32,Clairwood,"-29,9199966663165","30,9849603382501",Southern,Standpipe and exposed waterpipe,Pit Privies,C&SW contractor,TBC,I0917,51,B2,0.00417065815133261,2.34083071916825e-07
314,Special Case informal, ,Lenny Naidu Drive,69,Bayview,"-29,9248830551707","30,9107004329076",Southern,Ablution Facility Taps,Ablution Facility,C&SW contractor,TBC,I0919,21,B2,0.00135402752840946,8.53234623337919e-08
315,Tshunu, ,South Coast Road,74,Mobeni,"-29,9547121979641","30,945800589",Southern,No Water Supply,No Sanitation Facilities,C&SW contractor,TBC,I0902,45,C,0.00292225742806575,1.28428426551118e-07
316,Umlazi - D - DX10,DX10,Griffiths Mxenge / Hambakahle Mkhonto/ Sbonakaliso Mchunu,88,Umlazi - D,"-29,9689454456023","30,9001394527501",Southern,Ablution Facility Taps & Standpipes,Ablution facility & Pit Privies,C&SW contractor,Yes,I0821,64,B2,0.013815689235236,7.20414680714675e-07
317,Molokohla, ,Twenty First Avenue,92,Clermont,"-29,8025166675774","30,9108454395002",Western,Ablution Facility Taps & Standpipes,Ablution Facility,C&SW contractor,Yes,I0526,134,B2,0.0112631100014186,2.76715132510033e-06
318,Congo, ,99551 Street,9,Upper Molweni,"-29,7445333658684","30,8751153047234",Western,Standpipes,VIPs,C&SW contractor,Yes,I0036,879,B1,0.0310995632637947,3.75757869271295e-05
319,Dark City,Molweni Upper,Inanda Road,9,Upper Molweni,"-29,740410103555","30,8819903577831",Western,Standpipes,Pit Privies,C&SW contractor,Yes,I0041,1142,B1,0.0346992117307168,6.53200050384615e-05
320,KwaMageza, ,Inanda Road,9,Upper Molweni,"-29,7336388705331","30,887501511",Western,Standpipes,Pit Privies,C&SW contractor,Yes,I0104,515,B1,0.0332087547837807,3.04302566621913e-05
321,Molweni (Romani 1), ,Ikhwezi Road / Bhalito Road,9,Upper Molweni / Lower Molweni,"-29,7277660188042","30,8904616578723",Western,Standpipes,VIPs,C&SW contractor,Yes,I0133,1967,B1,0.084627478867469,0.000143151898768488
322,Emadimeni, ,99136 Street,9,Lower Molweni,"-29,716844062502","30,8516295340965",Western,Standpipes,Pit Privies,C&SW contractor,Yes,I0058,877,B1,0.0436777780994283,3.62788185268171e-05
323,Embo (new), ,Nqotho Road,8,Mkholombe,"-29,7524587377843","30,7672365325",Western,TBC,Pit Privies,C&SW contractor,Yes,I0062,689,B1,0.0383110247321917,2.17430960079267e-05
324,Protea, ,Benares Road / Diza Road,103/8,Bothas Hill / Mkholombe,"-29,7523130968912","30,7559607381204",Western,TBC,Pit Privies,C&SW contractor,Yes,I0161,1169,B1,0.0382748531416474,4.07856657945531e-05
325,Thirthy Second, ,Thirthy Second Avenue / P Tshabalala Avenue,92,Clermont,"-29,8033813002718","30,9009221610832",Western,Ablution Facility Taps & Standpipes,Ablution Facility & Pit Privies,C&SW contractor,Yes,I0198,86,B1,0.00382459310705538,6.01909875428695e-07
326,Sub 5 (BA), ,Wyebank Road / Khululeka Drive,19,KwaDabeka,"-29,7784010712199","30,8956650465001",Western,Ablution Facility Taps,Ablution Facility,C&SW contractor,Yes,I0197,61,B1,0.00501179419756069,7.79488342173447e-07
327,KwaNogxaza, ,99598 Street,9,Lower Molweni,"-29,7448641644015","30,8645521185001",Western,Standpipes,Pit Privies,C&SW contractor,Yes,I0109,299,B1,0.048787486708285,2.69773329547123e-05
328,Ekuthuleni, ,Ndosi Place / Bhekilanga Place / Mthimkhulu Avenue,19,Wyebank,"-29,7666648428471","30,8772967278634",Western,Standpipes,VIPs,C&SW contractor,Yes,I0054,755,B1,0.0424452938138391,1.60826997212492e-05
329,Josilina (Imvuzane) 1 of 4, ,Zazi Road / First Street,22,Clermont,"-29,7798960681641","30,8931078787531",Western,Ablution Facility Taps,Ablution Facilty,C&SW contractor,Planned,I0094,55,C,0.00288873338615691,3.81603329995251e-07
330,Bend, ,Clermont Road / Bend Street,92,Clermont Umngeni,"-29,7886088377725","30,9136819125687",Western,Ablution Facility Taps,Ablution Facility,C&SW contractor,Planned,I0022,42,B1,0.00367933351935006,7.78261387927633e-07
